Row,Private_Peak_Rail,Private_Peak_Bus,Private_Peak_Air,Private_Peak_Car,Private_Offpeak_Rail,Private_Offpeak_Bus,Private_Offpeak_Air,Private_Offpeak_Car,Business_Peak_Rail,Business_Peak_Bus,Business_Peak_Air,Business_Peak_Car,Business_Offpeak_Rail,Business_Offpeak_Bus,Business_Offpeak_Air,Business_Offpeak_Car
ASCPrivatePeakRail,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CostPrivatePeakRail,-2.32671502150704,1.68990975371677,1.68990975371679,1.68990975371679,0.572192091627263,0.57219209162725,0.572192091627258,0.572192091627247,0,0,0,0,0,0,0,0
DiscomfortPrivatePeakRail,-1.9154389121603,1.39045551924587,1.39045551924588,1.39045551924589,0.471405204771247,0.471405204771234,0.47140520477125,0.471405204771245,0,0,0,0,0,0,0,0
FirstWaitTimePeakRail,-0.0594440932048028,0.0430474945650655,0.0430474945650596,0.0430474945650693,0.0146795866511195,0.0146795866511039,0.0146795866511056,0.0146795866511028,-0.141691156870489,0.165689742601501,0.165689742601451,0.165689742601488,0.0798095237790369,0.0798095237790268,0.0798095237790417,0.0798095237790371
ASCPrivatePeakBus,0.0589286876107255,-5.02253543733613,0.0589286876107263,0.0589286876107125,0.0200938326078344,0.0200938326078194,0.0200938326078234,0.0200938326078283,0,0,0,0,0,0,0,0
CostPrivatePeakBus,0.0286398762376052,-2.4410760419928,0.028639876237615,0.0286398762376184,0.00976706875666145,0.0097670687566453,0.00976706875665994,0.00976706875666186,0,0,0,0,0,0,0,0
FirstWaitTimePeakBus,0.00445612610112779,-0.379820822196914,0.00445612610113045,0.00445612610113006,0.00151983407452904,0.00151983407451587,0.00151983407452207,0.00151983407451247,0.00196374850004591,-3.24056407767618,0.00196374850001654,0.00196374850003834,0.000946314981105547,0.00094631498110779,0.000946314981094763,0.000946314981099001
InVehPeakBus,0.0336086581759716,-2.86456749431191,0.0336086581759817,0.0336086581759862,0.0114613272872422,0.0114613272872388,0.0114613272872374,0.0114613272872242,0.00701849470891352,-11.5818655197954,0.00701849470889255,0.00701849470891437,0.00338211159553144,0.00338211159552682,0.00338211159553247,0.00338211159553724
ASCPrivatePeakAir,-2.42609404035701,-2.42609404035699,12.4023040515031,-2.42609404035699,-0.836309390927409,-0.836309390927416,-0.836309390927422,-0.836309390927434,0,0,0,0,0,0,0,0
AccessCostPrivateAir,0.213191929401964,0.213191929401969,-0.774023889324386,0.213191929401979,0.212743925337352,0.212743925337333,-0.774467480030951,0.21274392533732,0,0,0,0,0,0,0,0
AccessTimePrivatePeakAir,0.193644947848373,0.193644947848358,-0.986642728753165,0.193644947848366,0.0659915560358117,0.0659915560358056,0.065991556035798,0.0659915560357847,0,0,0,0,0,0,0,0
CostPrivatePeakAir,2.72705550409258,2.7270555040926,-13.8512438790021,2.7270555040926,0.919273890365398,0.919273890365394,0.919273890365385,0.919273890365381,0,0,0,0,0,0,0,0
